OTU,Domaine,Phylum,Classe,Ordre,Famille,Genre,Espece
Otu02857,Bacteria,Planctomycetes,Planctomycetia,B97,B97_unclassified,B97_unclassified,unclassified unclassified
Otu02858,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,125ds10,125ds10_unclassified,unclassified unclassified
Otu02859,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Tatlockia,Tatlockia unclassified
Otu02860,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiellaceae_unclassified,unclassified unclassified
Otu02861,Bacteria,Proteobacteria,Alphaproteobacteria,BD7-3,BD7-3_unclassified,BD7-3_unclassified,unclassified unclassified
Otu02862,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Jeongeupia,Jeongeupia naejangsanensis
Otu02863,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus
Otu02864,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,unclassified unclassified
Otu02865,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium unclassified
Otu02866,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,JG30-KF-CM45_unclassified,JG30-KF-CM45_unclassified,unclassified unclassified
Otu02867,Bacteria,OP11,OP11-3,OP11-3_unclassified,OP11-3_unclassified,OP11-3_unclassified,unclassified unclassified
Otu02868,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga unclassified
Otu02869,Bacteria,Cyanobacteria,Chloroplast,Stramenopiles,Stramenopiles_unclassified,Stramenopiles_unclassified,unclassified unclassified
Otu02870,Bacteria,Proteobacteria,Betaproteobacteria,Thiobacterales,Thiobacteraceae,Thiobacter,Thiobacter unclassified
Otu02871,Bacteria,Cyanobacteria,Chloroplast,Stramenopiles,Stramenopiles_unclassified,Stramenopiles_unclassified,unclassified unclassified
Otu02872,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Pelobacteraceae,Desulfuromonas,Desulfuromonas chloroethenica
Otu02873,Bacteria,Acidobacteria,(Chloracidobacteria),RB41,Ellin6075,Ellin6075_unclassified,unclassified unclassified
Otu02874,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus aquaeductus
Otu02875,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,EB1017_unclassified,unclassified unclassified
Otu02876,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,MSBL9_unclassified,MSBL9_unclassified,unclassified unclassified
Otu02877,Bacteria,Cyanobacteria,Chloroplast,Stramenopiles,Stramenopiles_unclassified,Stramenopiles_unclassified,unclassified unclassified
Otu02878,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiellaceae_unclassified,unclassified unclassified
Otu02879,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellulaceae_unclassified,unclassified unclassified
Otu02880,Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Gracilibacter,Gracilibacter unclassified
Otu02881,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium unclassified
Otu02882,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Intrasporangium,Intrasporangium calvum
Otu02883,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium unclassified
Otu02884,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Methylibium,Methylibium petroleiphilum
Otu02885,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oceanibaculum,Oceanibaculum indicum
Otu02886,Bacteria,Cyanobacteria,4C0d-2,SM2F09,SM2F09_unclassified,SM2F09_unclassified,unclassified unclassified
Otu02887,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,GZKB119,GZKB119_unclassified,unclassified unclassified
